id, name, longitude, latitude
48557793, Tai Koo @ 9.30pm - Maxim's Cakes (MTR Tai Koo) 3432, 114.215538, 22.284749
48557798, Tiu Keng Leng @ 9pm - Maxim's Cakes (Metro Town) 3212, 114.251974, 22.304211
48557799, Tiu Keng Leng @ 9pm - Maxim's Cakes (MTR Tiu Keng Leng) 3456, 114.252108, 22.303764
48557800, To Kwa Wan @ 8pm - Arome Bakery (Jubilant Place) 5574, 114.189343, 22.321767
48557801, To Kwa Wan @ 9pm - Maxim's Cakes (To Kwa Wan) 3107, 114.189236, 22.316100
48557803, Tseung Kwan O @ 9pm - Maxim's Cakes (MTR Tseung Kwan O) 3457, 114.260007, 22.307426
48557807, Tsim Sha Tsui @ 8pm - Arome Bakery (East Ocean Centre) 5501, 114.177755, 22.300327
48557808, Tsim Sha Tsui @ 9pm - Arome Bakery (Star Ferry Pier) 5535, 114.161145, 22.286891
48557809, Tsim Sha Tsui @ 9pm - Arome Bakery (MTR TST) 5563, 114.17223, 22.29695
48557810, Tsim Sha Tsui @ 8.00pm - Orchid Padaria (Ichang Street) 5007, 114.171228, 22.297026
48557817, Wan Chai @ 8pm - Arome Bakery (Harbour Centre) 5523, 114.174837, 22.281054
48557818, Wan Chai @ 8pm - Maxim's Cakes (East Asia) 3105, 114.170157, 22.277924
48557819, Wan Chai @ 8.30pm - Maxim's Cakes (Hennessy Road) 3256, 114.180993, 22.278986
48557820, Wan Chai @ 8pm - St Honore Cake Shop (Spring Garden Mansion) 2004, 114.172871, 22.275362
48557821, Wan Chai @ 8pm - Pret A Manger (Garden East) **Drop-off @ Yau Tong ONLY** 1011, 114.172243, 22.274904
48557823, Yau Tong @ 8.30pm - St Honore Cake Shop (Yau Lai Shopping Centre) 2002, 114.237108, 22.298697
48557824, Yau Tong @ 9pm - Maxim's Cake (MTR Yau Tong) 3455, 114.238513, 22.297617
48557719, Admiralty @ 7.30pm - Pret a Manger (Lippo Centre) **Drop-off @Yau Tong ONLY** 1003, 114.163566, 22.279257
48557721, Admiralty @ 8.30pm - Maxim's Cakes (MTR Admiralty) 3472, 114.164314, 22.278351
48557722, Admiralty @ 9pm - Arome Bakery (Queensway Plaza) 5581, 114.164407, 22.279124
48557724, Causeway Bay @ 9pm - Maxim's Cakes (Percival Street) 3239, 114.183069, 22.278561
48557725, Causeway Bay @ 9pm - Maxim's Cakes (MTR Causeway Bay) 3429, 114.18397, 22.28009
48557726, Central @ 7.30pm - Arome Bakery (MTR HK Station) 5564, 114.15655, 22.286224
48557727, Central @ 7.30pm - Arome Bakery (Shun Tak Centre) 5576, 114.151818, 22.288026
48557728, Central @ 7.30pm - Arome Bakery (Golden Centre) 5572, 114.153465, 22.285822
48557729, Central @ 8pm - Maxim's Cakes (MTR Hong Kong Station) 3351, 114.15655, 22.286224
48557730, Central @ 8.30pm - Maxim's Cakes (MTR Central - Exit Princes Bld), 114.15655, 22.286224
48557731, Central @ 8.30pm - Maxim's Cakes (Tak Shing) 3206, 114.157386, 22.282122
48557732, Central @ 9pm - Orchid Padaria (MTR Hong Kong) 5003, 114.15655, 22.286224
48557733, Central @ 9pm - Maxim's Cakes (MTR Hong Kong Station) 3352,  114.15655, 22.286224
48557734, Central @ 9pm - Maxim's Cakes (MTR Central - Exit Landmark) 3441, 114.15655, 22.286224
48557736, Chai Wan @ 9pm - Maxim's Cakes (New Jade) 3138, 114.236725, 22.263896
48557740, Fanling @ 8pm - Maxim's Cakes (Flora Plaza) 3249, 114.141306, 22.485321
48557741, Fortress Hill @ 8pm - Orchid Padaria (MTR Fortress Hill) 5002, 114.19417, 22.28858
48557742, Fortress Hill @ 8.30pm - Maxim's Cakes (Fortress Hill) 3221, 114.192822, 22.286641
48557743, Fortress Hill @ 9pm - Maxim's Cakes (King's Road) 3156, 114.195148, 22.289487
48557744, Hang Hau @ 9pm - Maxim's Cakes (East Point City) 3174, 114.265345, 22.31641
48557745, Heng Fa Chuen @ 8.30pm - Maxim's Cakes (MTR Heng Fa Chuen) 3440, 114.241838, 22.272769
48557746, Hung Hom @ 8.30pm - Maxim's Cakes (Whampoa) 3135, 114.190631, 22.305073
48557748, Jordan @ 9pm - Maxim's Cakes (MTR Jordan) 3414, 114.172358, 22.305805
48557750, Kennedy Town @ 8.30pm - Maxim's Cakes (Belcher's Street) 3250, 114.128267, 22.282658
